text,Ad1,Ad2,Ad3,sum_labels,agreed_labels,percentual_labels,labels_numbers
Cadavrul unui turist a fost recuperat dintr-o prăpastie din Munții Piatra Craiului,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0]","[2, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0.33, 0, 0.33, 0, 0]",[1]
E greu să vă explic senzația- cel mai talentat grup de pe care <|PROPN|> îl are de când țin cu echipa asta a căzut de la finala <|PROPN|> la un fotbal impotent păstorit de. E dezolant.,"[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0, 0, 0.33, 0, 0]",[1]
"„Noi suntem împotriva violenţei, suntem pentru alegeri cinstite”. Protestele curg în capitala Belarusului <|URL|> ","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 2, 2, 0]","[0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0.33, 0.66, 0.66, 0]","[5, 6]"
"Pe măsură ce compară starea lucrurilor, bietul om ia seama de prăpastie, se amărăște tot mai tare și își mărturisește public mâhnirea: „Mult mi s-a amărât sufletul văzând adevărata fericire a altor neamuri”.","[1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0.33, 0, 0, 0, 0, 0]",[1]
"Dezastru la <|PROPN|>. Producţia de măşti este la pământ, după ce aparatul cumpărat din <|PROPN|> s-a stricat <|URL|> … via muzical","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0]","[1, 2, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0.33, 0.66, 0.33, 0, 0.33, 0, 0]",[2]
"Optimismul în această perioadă nu înseamnă să așteptăm miracole, stând pasivi. Optimism înseamnă să ne punem încrederea în.","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 2, 1]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0.33, 0.66, 0.33]",[6]
( foto ) <|PROPN|> tomnatică de <|PROPN|> . Cum a imortalizat toamna,"[1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1]","[3, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0.33, 0, 0.33]",[1]
"Comisia Europeană a publicat raportul general pe 2019 privind activitățile Uniunii Europene; acesta evidențiază Pactul Ecologic European, ce urmărește să facă din <|PROPN|> primul continent neutru din punct de vedere climatic până în 2050 <|PROPN|> ","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",[5]
15 mil <|PROPN|> sunt uluit,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 3, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",[2]
"Sunt consternat. O simplă trecere cu mașina prin <|PROPN|> m-a intrigat profund. Orașul e <|PROPN|> de bătrâni care mișună, stau la cozi pe trotuare unul în altul, își plimbă plăsuca de colo-colo. Vă implor sunați-vă părinții, bunicii și rugați-i: #StațiAcasă! Doar așa oprim nebunia asta.","[0, 1, 1, 0, 0, 1, 0]","[0, 0, 1, 1, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 0]","[0.33, 0.66, 0.66, 0.33, 0, 0.33, 0]","[2, 3]"
Este ora <|PROPN|> vă dă muzică bună,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0, 0.33]",[5]
Sunt bucuros pentru ca am facut un 20 <|PROPN|> si un 15 <|PROPN|> si am trio pentru <|PROPN|> 🙏 🙏 🙏,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]",[7]
"unul spital din <|PROPN|> , mesaj alarmist: ' Există posibilitatea să transformăm absolut toate spitalele în spitale <|PROPN|> '- Stiri pe surse- Cele mai noi stiri","[0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 1, 3, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0.33, 1, 0, 0, 0, 0]",[3]
"Ok, m-am hotarat sa invat sa descarc video din <|PROPN|> am pus cantecelul tau in folderul meu cu preferate. Si stii, nu-s asa multe lucruri acolo.:) M-apuc sa descarc <|PROPN|> gutuia, dau eu de ea. Multumesc mult, mi-a inseninat fruntea.","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]",[7]
Doamne cum imi Răspunde asta de la <|PROPN|> ma sii imi vine sa l înjur,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",[4]
Manipularea cu Coronavirsul si Criza Mondiala via,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0.33, 0]",[5]
Noi vorbim aici o limba nobila si respectat in toata lumea iar tu vii si intervii cu limba ta spurcata. <|PROPN|> AFARA DIN <|PROPN|> DISCUTIE PITICA <|PROPN|>. SINGURA <|PROPN|> CONTACT CU ROMANIA A,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",[4]
Astăzi <|PROPN|> şi <|PROPN|> scriu o nouă pagină în istoria cuceririlor spaţiale. Totul despre misiunea <|PROPN|> ,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0.33, 0, 0, 0.66, 0, 0]",[5]
"Săptămâna în imagini | Furie și disperare după tragedia din <|PROPN|> , un pic de optimism în <|PROPN|> , la inaugurarea noului pod <|PROPN|> stiri <|PROPN|> ","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 2, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0.33, 0.66, 0, 0.33]",[5]
"4. Toate țările UE sunt indignate de aceste evoluții și trebuie să elaboreze o nouă politică în ceea ce privește <|PROPN|> și promovarea directă a terorismului, care a afectat deja mii de vieți. <|PROPN|> ","[1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[3, 0, 0, 3, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[1, 4]"
imi pare bine ca putem impartasi aceste sentimente prin aceasta minunata aplicatie cu o pasarea alba intr-un background alb. uimitor. o experienta de neuitat 10/10,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0.33, 0, 0.66]",[7]
"Trebuie sa ai grija de tenul tau prin produsele de curatare pe care le folosesti. Pentru a nu-ti agresa tenul si pentru a- i respecta echilibrul natural, trebuie sa folosesti un demachiant cu pH neutru, special creat pentru a- ti curata epiderma cu delicatete.","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0.33, 0]",[5]
" <|USERNAME|> Te-a înjurat de mamă <|URL|> grav!!! Te-a jignit, <|URL|> că te <|URL|> bune!","[0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 2, 0, 2, 0]","[0, 0, 0, 1, 0, 1, 0]","[0, 0.33, 0, 0.66, 0, 0.66, 0]","[4, 6]"
"Președintele PNL <|PROPN|>, <|PROPN|>: ”Avem candidați care pot reprezenta județul <|PROPN|> cu cinste!” <|URL|> …","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 2, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0.33, 0.66, 0]",[6]
: ‘ Am fost încântat să călătoresc pentru două zile în acele părți ale Ro unde secuii și- au întemeiat casele cu secole în urmă. Aceștia au sosit în <|PROPN|> (... ) și-au păstrat identitatea proprie mai bine de 800 de ani. <|PROPN|>,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0, 0.33]",[5]
"Forțarea la tratament a asimptomaticilor este un abuz medical halucinant, demn de filme <|PROPN|> cu criminali in serie. Nimic nu justifică adoptarea unei asemenea forme de dictatură medicală, nici dacă epidemia făcea zeci de mii de victime, nu 1000 <|URL|> ","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 2, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0.66, 0.33, 0, 0]",[4]
Decoratiuni lucrate manual pentru energie pozitiva in fiecare casa <|PROPN|> ,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0.33, 0]",[5]
Atac terorist la <|PROPN|> : Un a înjunghiat 2   persoane,"[0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[2, 0, 0, 2, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[0.66, 0, 0, 0.66, 0.33, 0, 0]","[1, 4]"
Salut! Ce mai faci? Eu bine. Sper că tu și iubita ta să aveți o zi minunata!:),"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]",[7]
"În timp ce Președintele <|PROPN|> ne spune să stăm in casă și să ne spălăm pe mâini, internetul e inundat de poze de camioane ce coboară din păduri încărcate până la refuz de lemne! Singurul bussines care nu a fost suspendat este TAIEREA ȘI TRANSPORTUL DE MASĂ","[0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 2, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0.33, 0, 0, 0.66, 0.33, 0, 0]",[4]
"Ce- mi mai place mie <|PROPN|> ' lu ' <|PROPN|> care se refulează pe aici, pe <|PROPN|> . De la mine un "" Hai <|PROPN|> , comunistă! ""","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",[4]
"AcasaAiTimpPentruTine, dar și el are mai mult timp. Asigură-te că cel drag are toate cele necesare pentru a avea un ritual de îngrijire cu adevărat complet.?????? Acum le poți comanda cu livrare #insiguranta,","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 2, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0.33, 0.66, 0]",[6]
poate sunt eu proasta dar nu cred ca se intampla nimic <|PROPN|> intorci <|URL|> o imagine <|URL|> asta zice sa nu ai incredere in <|URL|> tu ai avut incredere in ei ca e o imagine ascunsa daca intorci imaginea si te-ai holbat ca prostu,"[0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 1, 2, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0.33, 0, 0.33, 0.66, 0.33, 0]",[5]
Nu lăsa timpul vieții să treacă pe lângă tine fă-ți timpul vieții minunata alaturi de persoana iubita❤️❤️❤️,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]",[7]
FOTO Fostul Liceu Pedagogic în ruină – Imaginile care au îndurerat mii de dascăli sibieni,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0, 0.33, 0.33, 0, 0]",[1]
"De necaz că eu n- o să merg mâine la plajă așa cum vor face alții, mi- am făcut floricele la 12 noaptea, măcar să știu de ce mă îngraș. 😒","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0, 0, 0.33, 0, 0]",[1]
"Imi place sa ascult muzica <|PROPN|> sa imi impartasesc gandurile,,scriind,,e o delectare <|PROPN|> <|PROPN|> meu e bun, e o stare buna <|PROPN|> imi creeaza armonie,,,","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]",[7]
"Materialele tind să se dilate pe măsură ce crește temperatura. Moleculele se agită mai mult și se distanțează între ele. Apa, în schimb, se dilată când temperatura scade. E un lucru uimitor, cu consecințe importante: viața nu ar fi fost posibilă altfel:","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",[5]
RECUNOȘTINȚĂ pentru din țară. le- au mulțumit prin ropote de aplauze și muzică-,"[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 2, 2]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0.33, 0.66, 0.66]","[6, 7]"
"""Viata este un trandafir la care fiecare petala este o iluzie, iar fiecare spin o realitate."" <|PROPN|> de <|PROPN|> ","[0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0, 0, 0.33, 0.33, 0]",[1]
Simt eu ca <|PROPN|> va fi unul ascuns repede in carantina la domiciliu pe motiv de difuzare de stiri alarmiste de natura sa destabilizeze siguranta nationala,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0.33, 0.66, 0, 0]",[5]
"Sibiul fascinant- o destinație completă și sigură, la Raliul Sibiului 2020! | Sport | Tribuna","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0.33, 0]",[5]
"care cer inchiderea mall-urilor. Daca autoritatile cedeaza la astfel de populism, sa vezi atunci panica","[1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0]","[2, 0, 1, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0.33, 0.33, 0.33, 0, 0]",[1]
"Twitter, o zi frumoasa va doresc! <|PROPN|> 🌞 🎃 31 octombrie 2020, o dimineata insorita, deocamdată.!","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]",[7]
"Eu am bacul anul viitor și nu știu dacă l as vrea neaparat mai dificil, dar chiar îmi doresc admitere la facultate. Sunt mai confident pe nota de la examenul de admitere decât pe un eseu care e <|PROPN|> ȘI SUBIECTIV","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 2, 1]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0.33, 0.66, 0.33]",[6]
"Ok, nu este vorba neap?rat c? acele site-uri care genereaz? documente ar fi nesigure, ci c? exist? deja posibilitatea de a desc?rca?i completa acele documente necesare, f?r? a introduce date personale ONLINE. <|PROPN|> s? mergem pe surse oficiale, mai ales zilele astea! #COVID19","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 2, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0]","[0.33, 0, 0, 0.66, 0, 0.33, 0]",[4]
Sănătate Viață și tot binele din lume și tot ceea ce vă doriți în Viitor să vi se îndeplinească și prosperitate,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 3]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0.33, 1]",[7]
Drumurile catastrofale îi duc la exasperare pe şoferi. Cum arată mașinile acestora după o plimbare pe una dintre cele mai proaste şosele din <|PROPN|>: <|URL|> ,"[0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 2, 2, 0, 0]","[0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0.66, 0.66, 0, 0]","[4, 5]"
"”Mânia învinge-o prin blândețe, răul învinge-l prin bine, pe zgârcit învinge-l prin dărnicie, iar pe mincinos prin adevăr.” <|PROPN|> ","[0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 3, 1, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0.33, 0.33]",[5]
Avertisment de coșmar al experților: Marea <|PROPN|> riscă un al treilea val de infecţii care va fi şi mai mortal decât primul,"[1, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[1, 0, 3, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0.33, 0, 1, 0, 0, 0, 0]",[3]
"Nonconformism, un zâmbet „ obraznic ” și un final tragic:, uriașul care s- a încurcat cu cine nu trebuie","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0.33, 0, 0, 0, 0, 0]",[1]
Ambasadorul <|PROPN|> susține propunerea Comisiei de a lega fondurile europene de statul de drept: O măsură care consolidează transparenţa şi încrederea,"[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 3, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]",[6]
"Am observat... din câți am prin zona, doar vreo trei mai țin la ideea sa ducă o viața normala, restul s- au încuiat benevol. Au rezistat mult, dar pana la urma i- a doborât frica. Aștept sa se uzeze frica sa își revină încet, ca","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 2, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0.66, 0, 0.33, 0.33, 0]",[3]
Ok deci: ~;in primul rand trebuie sa îți găsești vibe-ul in cate te simți cel mai confident. ~;incearca sa iti schimbi stilul vestimentar dupa vibe-ul ales.,"[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 3, 1]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0.33]",[6]
"Coronavirus în lume LIVE <|PROPN|> . groaznic şi astăzi în <|PROPN|> : 793 morţi, dintre care 546 doar Ã- <|PROPN|> ","[0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0]","[2, 0, 2, 1, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0]","[0.66, 0, 0.66, 0.33, 0, 0, 0]","[1, 3]"
"Noua noastră resursă Evidence în <|PROPN|> ( in engleză ) evidențiază unele soluții din domeniile educației, forței de muncă, finanțelor, guvernării, egalității de șanse între și și incluziunii sociale EvidenceinEurope","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",[5]
"Clar nu se schimba nimic atat timp cat nu înțelegem dracului odată ca 'â' ăsta se folosește în interiorul cuvintelor care conțin 'â' gen <|PROPN|>, român, învațând, iar 'î' se foloseste la începutul cuvintelor c","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 2, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0.66, 0.33, 0, 0]",[4]
"Poanta asta este pentru <|PROPN|> și electoratul său, ăla care crede că tot ce zboară se și mănâncă.","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",[4]
Scenariu de groază la nivel mondial! au anunțat ce urmează să se întâmple în toată   lumea,"[0, 1, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 1, 2, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0.33, 0.66, 0, 0.33, 0.33, 0]",[3]
"Știai? Eu ii știu demult, d-aia m-am mirat ca ii dai de sursă bun. Tu, reporter cu experienta. 😅😅","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 3, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0.33, 0]",[2]
SUA au depasit pragul de <|URL|> de cazuri de COVID-19. <|PROPN|> cea mai indoliata tara din lume,"[1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[2, 0, 2, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0]","[0.66, 0, 0.66, 0, 0, 0, 0]","[1, 3]"
"Un nou virus foarte periculos a fost descoperit în <|PROPN|> /Autorităţile au sacrificat <|URL|> de găini / Virusul se poate transmite, mai greu, și la om","[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[1, 2, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0.33, 0.66, 0.33, 0, 0, 0, 0]",[2]
"China va oferi sprijin și asistență țărilor în nevoie și va asigura lanțuri stabile de aprovizionare antiepidemice la nivel mondial, a declarat marți președintele <|PROPN|> ","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 3, 1]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0.33]",[6]
"Eu mă gândeam mai mult la spargerile pt viol...:( care da, se întâmplă, din nefericire. Nu pui bulina roșie pe casa ta dacă nu vrei sa te viziteze careva cândva cu dedicație.","[0, 0, 1, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[1, 0, 2, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0.33, 0, 0.66, 0.33, 0, 0, 0]",[3]
"😃 <|PROPN|> Nu! Că de obicei îs că un proton. Dar tot îmi doresc oameni competenți și mai ales la putere, zău!","[0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0.33, 0, 0, 0, 0.66, 0]",[6]
